,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Genotypes,Replication,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,NOB,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,Bunwidth,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
,,R2,0.783,9,35,106,256.70,81.27,95.60,12.50,13.50,20.90,0.77,4.76,38.90,18.10,7.80,16.80,126.00,6.45,3.0
,,R3,0.745,7,31,98,241.30,82.17,102.00,14.50,16.30,23.20,0.57,5.12,32.50,15.10,8.20,16.30,124.00,6.89,2.0
,Charark-3,R1,0.232,11,36,100,278.50,70.20,110.80,14.50,14.50,21.75,0.36,5.46,53.40,12.40,7.60,22.00,130.00,6.91,2.0
,,R2,0.156,10,34,96,289.70,78.90,106.00,13.50,14.50,19.70,0.48,5.14,58.90,14.50,8.50,21.30,131.00,5.84,2.0
,,R3,0.201,9,30,106,298.80,83.17,117.00,13.80,14.53,19.80,0.61,5.87,40.90,13.90,9.10,20.40,120.00,6.21,2.0
,Rose  of Penn,R1,0.872,14,38,100,177.60,93.80,30.70,14.50,16.50,22.20,0.40,8.39,58.90,8.00,6.70,13.00,126.00,5.54,2.0
,,R2,0.812,12,30,103,187.90,99.22,34.32,14.50,16.50,21.20,0.54,8.21,50.40,7.90,5.40,12.60,123.00,5.01,3.0
,,R3,0.765,11,36,106,203.83,100.80,27.00,12.00,16.00,20.00,0.60,8.67,42.30,8.80,4.60,12.10,128.00,4.89,2.0
,Rose Ciotat,R1,0.918,14,38,106,102.45,108.75,48.50,17.00,19.00,17.60,0.64,3.57,58.70,9.60,5.80,3.00,130.00,8.21,3.0
,,R2,0.834,11,34,100,124.26,94.70,54.80,17.50,19.00,18.30,0.49,3.78,41.80,12.30,7.10,3.80,127.00,7.89,3.0
,,R3,0.812,13,32,98,136.30,99.00,68.70,17.80,17.90,18.20,0.58,2.98,38.90,10.40,6.40,4.50,125.00,8.56,3.0
,Cabernet Franc clone 312,R1,0.301,9,40,110,138.93,58.50,75.60,12.50,13.00,17.60,0.46,4.16,42.30,10.80,5.90,17.00,140.00,5.98,2.0
,,R2,0.234,10,37,106,119.84,61.70,80.25,14.00,12.60,19.30,0.56,4.65,36.50,12.10,6.70,16.30,131.00,6.45,2.0
,,R3,0.267,9,35,114,142.80,69.55,70.00,15.80,11.00,18.80,0.62,4.38,48.90,10.30,7.30,14.20,136.00,6.78,3.0
,Marquise,R1,0.582,14,34,100,155.95,107.15,65.70,14.50,16.00,19.10,0.63,5.66,51.00,17.80,8.70,31.00,130.00,0.00,0.0
,,R2,0.513,15,31,98,152.03,116.00,68.00,12.00,14.00,18.95,0.55,5.23,50.40,18.50,9.10,27.80,126.00,0.00,0.0
,,R3,0.478,14,30,104,169.70,123.30,70.80,13.50,15.80,17.80,0.59,5.87,45.60,16.40,10.60,29.40,121.00,0.00,0.0
,Cayuga White,R1,0.033,13,34,100,40.51,122.40,48.50,17.50,17.30,16.90,0.90,4.46,41.20,10.90,5.30,11.00,130.00,3.06,2.0
,,R2,0.046,12,30,107,70.73,130.81,45.32,16.00,16.50,17.80,0.87,4.13,37.80,8.10,3.80,13.60,120.00,4.78,1.0
,,R3,0.067,10,33,100,87.35,131.55,45.67,14.30,15.10,16.87,0.79,4.74,31.50,8.30,4.20,14.80,126.00,4.23,1.0
,Rosaria Bianca,R1,0.492,9,40,106,231.40,128.85,76.80,18.00,20.50,16.60,0.87,3.50,47.80,14.60,10.90,31.60,130.00,5.78,2.0
,,R2,0.435,8,37,103,242.00,119.41,69.00,19.00,23.00,17.00,0.67,3.12,56.40,11.80,9.80,29.40,121.00,5.34,2.0
,,R3,0.396,7,35,108,263.67,120.80,66.67,17.00,22.29,15.97,0.57,3.86,60.50,17.57,10.13,28.30,124.00,5.12,3.0
,Clairette,R1,0.364,14,43,110,378.30,73.05,180.70,13.50,15.00,19.00,0.62,8.04,48.90,19.20,6.90,15.00,130.00,7.92,3.0
,,R2,0.313,10,40,114,381.20,82.95,188.70,13.50,13.50,20.00,0.71,8.45,41.50,17.50,7.80,14.20,127.00,8.04,3.0
,,R3,0.278,13,38,107,365.40,87.55,191.00,15.00,14.80,18.00,0.56,8.79,40.90,18.60,8.20,13.10,132.00,7.34,3.0
, SV-12364,R1,0.505,15,32,106,350.90,50.00,51.50,11.50,11.50,22.80,0.49,2.73,57.80,15.60,5.10,18.00,138.00,6.86,2.0
,,R2,0.571,12,30,103,387.80,64.74,50.29,11.50,12.00,21.25,0.65,2.34,55.30,13.80,6.70,16.40,139.00,7.45,2.0
,,R3,0.467,13,36,101,404.00,69.50,56.80,13.50,14.30,23.40,0.63,2.71,50.20,14.80,5.70,14.20,132.00,6.23,2.0
,Candaigua,R1,0.261,9,29,104,98.70,236.50,55.50,17.00,20.00,15.80,0.71,3.84,61.20,8.70,6.70,12.00,130.00,6.06,3.0
,,R2,0.212,9,27,101,115.31,240.75,21.40,19.00,19.50,16.70,0.56,3.76,56.70,11.90,8.20,11.40,124.00,6.73,2.0
,,R3,0.189,10,30,108,138.43,248.41,24.00,18.50,19.90,17.03,0.69,3.41,49.00,5.30,7.60,10.90,121.00,5.24,2.0
, SV-18402,R1,0.709,10,33,106,514.60,85.50,65.50,12.50,13.50,17.40,0.59,3.78,65.40,11.90,5.60,5.00,130.00,5.21,2.0
,,R2,0.678,11,31,109,534.20,91.30,60.80,11.50,13.50,19.70,0.67,3.24,56.90,10.40,3.90,6.70,127.00,6.45,2.0
,,R3,0.623,12,29,102,552.17,104.20,71.30,14.30,17.80,18.50,0.60,3.65,53.40,12.60,4.40,8.30,122.00,5.89,2.0
,Leon Mellot,R1,0.632,15,34,104,35.41,36.40,50.00,11.50,12.50,18.10,0.74,9.60,58.90,5.80,2.80,3.00,128.00,2.40,2.0
,,R2,0.61,13,31,110,45.60,40.01,57.20,11.50,12.50,17.60,0.82,9.12,53.40,6.30,3.20,5.60,124.00,2.89,2.0
,,R3,0.567,11,32,103,50.47,47.85,58.33,9.40,11.10,18.23,0.68,9.22,51.20,6.50,4.70,6.10,122.00,3.45,1.0
,Muscat Petit,R1,1.081,13,38,97,216.95,60.80,110.80,15.00,16.50,19.60,0.69,8.13,67.60,20.20,9.40,28.00,130.00,0.00,0.0
,,R2,1.117,12,35,109,223.40,63.05,120.00,8.00,11.00,17.80,0.79,8.80,61.80,19.80,10.27,24.50,126.00,0.00,0.0
,,R3,0.879,10,31,113,234.67,76.00,118.33,13.00,11.67,15.97,0.85,8.43,60.90,19.10,11.40,26.10,123.00,0.00,0.0
,Rose of Peru,R1,0.572,14,34,103,33.50,79.80,88.60,14.00,18.00,17.75,0.88,3.11,54.80,10.60,3.80,13.00,130.00,7.08,2.0
,,R2,0.513,12,36,101,29.70,72.23,98.44,12.50,14.50,18.60,0.68,3.67,51.40,13.40,4.30,12.10,126.00,7.56,2.0
,,R3,0.473,10,36,100,43.78,74.00,94.70,14.20,13.70,18.60,0.81,3.89,58.90,11.90,3.40,11.50,121.00,6.84,3.0
,Greaca,R1,0.23,9,38,94,258.41,257.10,65.50,16.50,21.00,16.15,0.74,6.70,51.20,14.50,9.30,13.20,124.00,5.55,3.0
,,R2,0.289,11,35,100,286.70,251.45,64.20,20.00,22.00,14.00,0.69,5.87,48.90,19.70,9.90,15.30,119.00,4.89,2.0
,,R3,0.267,10,31,96,330.03,254.20,60.00,19.30,22.70,17.60,0.55,6.12,43.40,16.40,8.50,14.80,122.00,5.23,2.0
,Concord,R1,0.756,13,33,106,379.60,150.60,48.50,14.50,19.50,17.50,0.63,3.77,56.78,9.90,7.50,21.30,136.00,7.25,2.0
,,R2,0.734,12,30,100,389.70,157.60,41.50,12.50,17.50,19.00,0.70,3.97,52.30,12.50,6.90,18.90,132.00,7.78,2.0
,,R3,0.678,11,31,109,405.61,163.17,40.90,13.80,19.40,18.00,0.52,3.41,48.90,10.40,6.00,14.60,131.00,7.01,2.0
,Chholtu White,R1,0.262,15,32,100,401.00,160.80,58.70,16.00,17.00,25.40,0.72,4.95,41.30,9.50,5.50,16.00,128.00,3.26,1.0
,,R2,0.291,14,29,110,426.30,167.70,53.56,16.00,17.00,26.80,0.61,4.18,37.80,12.50,6.50,15.40,125.00,2.89,2.0
,,R3,0.169,10,31,102,436.87,175.37,56.00,18.00,20.20,24.00,0.50,4.67,34.50,10.10,7.20,14.30,120.00,2.34,2.0
