,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Genotypes,Replication,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,NOB,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,Bunwidth,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
,Pearl of Csaba,R1,0.816,10,42,102,259.53,97.80,75.60,14.50,17.50,24.50,0.74,5.40,54.30,17.20,5.90,32.00,132.00,0.00,0.0
,,R2,0.789,12,36,96,267.80,101.60,78.52,14.50,17.50,24.95,0.68,5.12,61.30,16.60,6.80,28.90,127.00,0.00,0.0
,,R3,0.91,8,32,99,280.70,106.70,79.00,15.70,19.00,23.00,0.40,5.66,50.90,18.70,7.40,33.50,123.00,0.00,0.0
,Petit Syrah,R1,0.524,9,40,106,498.70,52.70,114.50,14.50,13.00,19.60,0.59,8.49,48.90,10.20,7.80,24.60,136.00,5.67,2.0
,,R2,0.501,8,36,100,512.30,64.88,120.80,12.00,14.50,20.80,0.75,8.12,40.70,13.40,9.30,21.30,132.00,5.12,2.0
,,R3,0.492,10,38,103,521.83,70.80,110.00,11.30,13.80,20.00,0.60,8.82,37.80,12.90,8.30,19.80,129.00,4.89,1.0
,Ribier,R1,0.721,12,43,110,307.28,60.10,70.30,18.50,20.50,16.10,0.84,2.53,56.70,14.50,7.80,11.40,138.00,3.90,2.0
,,R2,0.689,13,40,107,331.40,67.50,73.00,17.00,19.00,17.80,0.71,2.78,51.30,16.80,8.00,13.40,131.00,4.07,2.0
,,R3,0.702,12,39,111,352.67,73.15,74.00,19.70,19.00,15.97,0.62,2.63,43.40,15.90,9.40,15.60,135.00,3.56,1.0
,Riesling,R1,0.453,13,39,114,266.40,170.70,47.50,17.00,18.50,18.60,0.99,2.66,51.60,18.70,8.10,16.70,140.00,5.20,1.0
,,R2,0.446,10,37,110,273.60,178.50,37.10,15.50,16.50,19.00,0.81,2.12,43.50,18.40,9.40,17.80,137.00,4.89,1.0
,,R3,0.423,9,35,108,282.60,181.50,40.80,18.30,21.20,17.80,0.63,2.78,41.10,17.10,10.10,18.90,135.00,5.34,1.0
,Rubi red,R1,0.779,14,38,108,375.60,62.54,37.00,13.00,15.00,18.40,0.79,2.25,53.20,11.50,5.70,23.00,140.00,7.80,2.0
,,R2,0.763,11,35,105,391.40,74.83,40.80,13.50,14.00,19.80,0.67,2.67,46.70,13.80,6.20,21.50,139.00,7.34,2.0
,,R3,0.745,10,32,103,401.17,79.80,48.00,14.50,15.00,18.40,0.53,2.56,42.30,12.80,7.40,20.90,134.00,7.61,1.0
,Sauvignon blanc,R1,1.013,10,36,103,310.90,67.80,67.50,11.50,12.00,21.40,0.66,5.57,59.00,8.90,4.80,13.60,145.00,5.10,1.0
,,R2,0.981,10,34,100,321.40,70.60,70.80,11.50,12.50,23.50,0.55,5.13,50.80,9.80,5.10,10.70,141.00,4.93,1.0
,,R3,1.023,9,32,98,335.15,77.50,74.90,14.20,13.50,23.00,0.50,5.78,47.80,9.50,6.10,11.70,138.00,4.65,2.0
,Seibel 9308,R1,0.758,10,36,106,258.30,85.35,71.00,12.50,14.00,17.30,0.58,3.22,25.00,8.70,4.80,12.00,140.00,7.02,3.0
,,R2,0.701,9,34,104,243.40,80.90,63.60,14.00,16.00,22.05,0.71,3.82,31.40,10.50,5.10,13.70,136.00,6.57,3.0
,,R3,0.698,10,32,102,263.40,86.50,76.80,15.00,18.60,16.90,0.50,3.45,38.90,15.00,5.70,14.10,132.00,6.78,2.0
,Semillon,R1,0.717,10,40,112,198.40,72.30,111.20,13.00,13.00,20.40,0.80,4.32,50.20,16.40,3.40,15.00,142.00,6.96,2.0
,,R2,0.689,9,38,110,178.90,79.65,120.38,14.00,16.00,17.10,0.73,4.56,41.30,14.60,4.20,15.80,138.00,6.23,2.0
,,R3,0.702,9,36,105,205.60,80.83,108.00,12.50,13.50,18.20,0.60,4.12,38.70,12.30,5.40,16.30,135.00,6.11,1.0
, SV-12309,R1,0.264,14,38,106,354.60,54.80,90.50,12.50,13.50,15.40,0.65,6.39,66.00,10.70,2.90,13.00,144.00,7.81,1.0
,,R2,0.251,10,36,103,367.80,51.50,81.37,14.50,15.00,18.80,0.87,7.14,58.90,16.40,4.20,12.80,141.00,7.14,2.0
,,R3,0.246,12,34,100,381.17,56.17,99.00,11.20,11.70,20.40,0.60,6.87,54.30,12.40,3.80,12.50,137.00,7.34,2.0
, SV-23501,R1,0.798,10,34,110,463.20,83.50,110.50,11.50,14.00,17.70,0.78,8.99,50.30,12.90,2.80,7.00,138.00,7.08,2.0
,,R2,0.781,8,31,106,478.60,88.41,110.25,11.50,11.50,15.40,0.65,8.05,48.90,13.50,3.60,8.00,135.00,6.78,2.0
,,R3,0.776,9,29,108,491.50,94.37,112.30,13.80,14.30,18.20,0.59,8.30,56.80,11.60,4.30,9.00,131.00,7.12,1.0
,Symphony,R1,0.713,9,43,106,547.90,90.60,72.50,15.50,17.00,21.60,0.76,2.77,53.60,13.50,6.40,21.00,134.00,4.79,2.0
,,R2,0.684,10,37,105,551.10,106.79,70.80,15.50,17.00,21.50,0.65,2.67,58.90,15.80,7.10,20.90,132.00,4.23,2.0
,,R3,0.654,7,40,100,577.80,122.20,68.00,16.10,16.30,19.00,0.50,2.15,39.00,12.00,8.40,19.40,127.00,4.04,1.0
,Tannat(B2-6-1),R1,0.798,14,38,108,113.53,98.70,61.20,14.50,16.50,17.90,0.88,10.15,58.00,10.20,4.90,18.00,140.00,7.97,1.0
,,R2,0.783,12,34,102,110.48,104.58,63.00,17.50,17.80,19.80,0.77,10.23,48.90,11.40,5.20,17.40,136.00,7.23,2.0
,,R3,0.734,10,31,100,112.02,110.00,65.70,16.20,16.50,20.00,0.81,10.54,56.80,9.60,6.50,16.20,132.00,7.41,2.0
,Tigvosa,R1,0.467,14,37,100,387.60,63.20,78.00,12.50,14.00,18.00,0.84,7.17,61.20,10.30,7.90,16.00,126.00,5.78,1.0
,,R2,0.451,10,34,97,409.70,65.48,86.10,11.00,13.50,19.00,0.73,7.86,58.00,9.40,6.50,14.70,121.00,5.23,2.0
,,R3,0.445,9,31,94,432.83,72.40,68.00,13.70,14.00,18.00,0.62,7.12,48.90,8.10,6.10,15.10,124.00,5.10,2.0
,Tsimlyanski Chernyi,R1,0.65,14,38,102,280.70,102.76,62.00,19.00,21.00,19.30,1.12,2.69,47.70,20.30,6.80,17.00,130.00,3.72,1.0
,,R2,0.602,12,36,100,298.70,104.09,68.90,17.00,19.00,16.40,0.98,2.21,40.90,19.20,9.00,16.30,126.00,3.12,2.0
,,R3,0.612,10,32,99,313.07,134.80,65.00,19.20,17.20,18.27,0.87,2.18,35.60,18.50,8.80,15.80,124.00,3.45,2.0
,VP X Beauty Seedless,R1,1.17,9,34,108,41.27,37.60,52.00,15.00,18.00,21.60,0.43,4.55,50.50,10.60,2.80,12.40,140.00,3.94,1.0
,,R2,1.03,10,31,105,61.78,41.20,56.65,15.00,18.00,20.80,0.66,4.12,42.30,8.90,3.60,11.80,137.00,3.56,1.0
,,R3,0.998,11,29,103,63.65,45.03,57.00,11.30,17.80,19.03,0.73,4.76,46.70,8.50,4.40,10.90,134.00,3.23,1.0
,VP X Centennial Seedless,R1,0.314,14,38,100,156.30,80.60,25.70,13.50,19.50,18.00,0.73,4.47,52.10,11.50,5.40,21.00,132.00,5.94,2.0
,,R2,0.305,10,35,98,163.91,88.70,29.96,16.50,19.50,14.80,0.64,4.78,53.40,13.80,6.70,23.40,130.00,5.23,2.0
,,R3,0.281,11,32,95,173.12,92.07,29.00,16.30,16.10,17.20,0.55,4.35,47.90,12.30,7.80,19.00,128.00,5.41,1.0
,Golden Queen,R1,0.753,13,38,100,211.30,172.00,45.60,17.00,18.90,22.45,0.67,4.14,76.60,13.90,8.90,19.00,125.00,5.18,1.0
,,R2,0.742,10,37,99,229.98,173.90,47.00,16.00,17.00,25.00,0.61,4.67,70.90,14.10,9.27,21.30,121.00,4.78,1.0
,,R3,0.721,10,36,94,233.30,182.00,47.30,16.30,16.90,23.60,0.50,4.58,67.50,14.80,10.40,20.60,119.00,5.23,2.0
,Alden,R1,2.268,11,37,106,254.30,185.08,50.30,16.90,19.00,18.20,0.78,8.80,43.60,14.60,9.70,26.00,120.00,13.70,2.0
,,R2,2.1,10,35,100,261.30,186.45,57.00,14.00,17.00,19.80,0.67,8.12,40.90,15.70,8.80,24.60,117.00,11.03,2.0
,,R3,2.045,9,34,102,273.00,176.80,57.00,15.67,17.00,17.97,0.70,8.42,37.60,12.17,10.27,25.10,113.00,10.78,2.0
,Barbarossa,R1,0.838,9,40,106,130.80,57.20,49.50,11.50,13.00,23.10,0.42,4.22,63.20,7.10,4.90,18.00,132.00,4.98,2.0
,,R2,0.827,9,37,102,148.70,61.62,45.60,14.00,16.00,21.45,0.51,4.31,58.70,11.50,6.20,17.60,127.00,4.56,2.0
,,R3,0.801,9,34,100,160.60,57.50,34.00,11.30,13.10,24.20,0.61,4.98,52.10,9.20,5.20,17.30,125.00,4.23,1.0
,Black Champa,R1,0.739,9,33,134,180.58,190.87,31.20,20.50,17.80,17.90,0.76,4.41,58.70,8.10,12.40,17.00,134.00,6.74,2.0
,,R2,0.723,10,31,131,115.64,192.70,26.78,17.00,18.00,16.00,0.66,4.12,50.80,7.50,11.40,16.80,131.00,6.13,2.0
,,R3,0.701,10,29,128,201.40,206.00,34.00,16.80,19.50,18.00,0.57,4.98,46.30,6.40,10.70,16.40,128.00,6.02,1.0
,Labrusca (FV),R1,1.219,9,33,102,310.40,81.40,54.60,16.50,19.50,18.80,0.59,8.55,40.20,14.30,6.80,17.40,125.00,6.17,2.0
,,R2,1.023,9,31,99,321.30,98.80,58.24,14.50,15.50,19.70,0.67,8.79,43.20,12.80,7.20,23.00,126.00,8.32,1.0
,,R3,0.98,10,30,97,338.50,98.33,59.67,19.30,20.30,16.33,0.70,8.23,37.80,13.30,8.40,23.50,121.00,8.01,2.0
,Bianca,R1,1.055,12,36,96,167.50,119.00,43.60,14.50,15.50,16.90,0.63,6.29,41.00,15.70,9.80,18.00,120.00,7.86,2.0
,,R2,0.841,10,34,94,131.08,123.40,36.00,12.00,12.00,18.00,0.58,6.12,34.50,17.80,10.60,19.30,118.00,7.12,2.0
